Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
516	17.793	174.59	57.06	140.99	107.73
517	17.828	174.67	55.34	140.28	108.1
518	17.862	174.64	56.01	137.87	109.16
519	17.897	174.74	55.77	136.82	109.23
520	17.931	174.71	55.54	135.48	109.2
521	17.966	174.55	54.96	130.44	109.77
522	18.0	174.06	54.28	127.32	108.55
523	18.034	174.62	56.44	127.74	109.93
524	18.069	174.28	57.26	123.47	109.84
525	18.103	174.15	56.49	122.91	110.08
526	18.138	175.25	55.5	121.98	109.98
527	18.172	175.23	57.44	121.62	110.27
528	18.207	175.12	59.19	122.97	110.56
529	18.241	175.61	58.34	125.43	109.45
530	18.276	175.77	58.17	126.11	110.29
531	18.31	175.72	57.15	130.59	110.2
532	18.345	175.6	56.51	133.41	110.01
533	18.379	175.94	57.23	134.2	110.12
534	18.414	175.75	55.53	136.49	109.06
535	18.448	175.76	55.03	138.34	108.32
536	18.483	175.72	56.85	138.17	108.07
537	18.517	175.56	55.77	138.3	107.59
538	18.552	175.86	55.1	137.29	107.3
539	18.586	176.1	55.22	137.49	107.98
540	18.621	176.23	53.15	137.17	108.38
541	18.655	177.4	55.59	138.63	110.97
542	18.69	177.47	54.01	138.83	110.7
543	18.724	177.51	54.19	139.04	110.41
544	18.759	178.14	54.71	138.61	110.49
545	18.793	178.0	55.71	137.71	110.3
546	18.828	177.73	54.24	138.89	109.72
547	18.862	178.74	56.48	139.44	110.2
548	18.897	178.38	55.73	138.63	109.21
549	18.931	178.37	59.36	137.91	109.22
550	18.966	174.29	65.14	138.47	107.49
551	19.0	174.53	64.24	138.64	107.56
552	19.034	177.17	64.18	136.67	105.61
553	19.069	177.48	64.98	136.94	105.73
554	19.103	177.02	66.5	136.63	105.2
555	19.138	176.73	66.63	136.14	104.25
556	19.172	176.02	67.3	134.84	103.58
557	19.207	176.42	68.65	135.14	102.37
558	19.241	176.63	69.06	134.86	101.88
559	19.276	177.14	69.68	135.16	100.72
560	19.31	177.04	67.77	134.14	100.93
561	19.345	179.12	69.56	134.26	102.22
562	19.379	179.0	68.31	136.31	99.05
563	19.414	177.1	68.96	134.17	98.03
564	19.448	175.29	68.08	130.47	94.66
565	19.483	169.99	70.23	127.59	96.33
566	19.517	169.47	68.56	127.22	95.58
567	19.552	173.84	66.25	131.95	94.44
568	19.586	173.85	68.78	131.91	95.5
569	19.621	176.56	66.68	133.86	98.16
570	19.655	178.91	64.5	137.33	103.31
571	19.69	179.76	63.32	138.8	104.49
572	19.724	179.43	65.02	139.18	105.04
573	19.759	178.56	66.72	136.77	105.63
574	19.793	178.79	66.21	135.19	105.7
575	19.828	179.3	65.41	136.91	106.59
576	19.862	178.06	65.61	139.15	104.61
577	19.897	178.28	75.31	141.37	103.41
578	19.931	178.81	74.17	147.76	101.63
579	19.966	178.6	73.46	149.14	100.53
580	20.0	178.38	71.12	150.78	100.11
581	20.034	178.2	67.01	148.01	100.17
582	20.069	178.19	64.32	146.3	100.69
583	20.103	178.11	61.14	142.5	102.67
584	20.138	179.34	58.18	141.24	105.13
585	20.172	176.11	58.29	137.35	103.49
586	20.207	176.76	52.57	137.99	103.74
587	20.241	175.43	49.13	136.5	102.16
588	20.276	174.65	52.92	135.97	101.78
589	20.31	175.21	58.52	138.86	99.82
590	20.345	176.18	56.62	139.74	99.71
591	20.379	175.63	57.05	138.17	99.46
592	20.414	176.34	57.39	138.39	101.41
593	20.448	176.6	57.64	140.12	102.47
594	20.483	176.46	59.45	138.58	102.21
595	20.517	179.16	60.25	142.38	102.29
596	20.552	176.25	64.3	137.44	103.94
597	20.586	176.67	64.7	138.63	104.65
598	20.621	176.18	65.37	137.34	103.51
599	20.655	176.65	64.2	139.55	103.51
600	20.69	176.44	64.09	138.95	103.91
601	20.724	175.71	61.79	141.27	105.5
602	20.759	177.77	59.3	140.73	104.96
603	20.793	177.32	60.16	139.56	104.52
604	20.828	174.08	62.13	139.38	104.33
605	20.862	176.92	60.65	140.77	104.22
606	20.897	173.99	63.59	138.7	104.65
607	20.931	176.96	58.57	139.05	104.37
608	20.966	174.52	61.85	138.85	105.29
609	21.0	174.9	60.87	138.54	104.87
610	21.034	174.84	61.09	138.92	104.42
611	21.069	174.65	61.18	137.89	103.46
612	21.103	174.7	61.71	137.07	102.39
613	21.138	174.97	61.61	139.16	103.14
614	21.172	175.23	60.69	139.11	103.03
615	21.207	175.16	60.25	138.2	101.98
616	21.241	175.51	59.19	138.44	102.24
617	21.276	175.18	58.12	137.62	101.27
618	21.31	175.28	59.46	137.11	102.27
